ID_Lloyds	Name_Lloyds (COUNTRY)	COUNTRY
('1247',)	Baltasound (GBR)	GBR
('5502',)	Baltic (EST)	EST
('8027',)	Baltic Russia (RUS)	RUS
('63',)	Baltic USSR (SUN)	SUN
('854',)	Baltimore (USA)	USA
('6011',)	Baltimore(IRL) (IRL)	IRL
('6286',)	Baltiysk (RUS)	RUS
('6238',)	Baltrum (DEU)	DEU
('680',)	Bamberton (CAN)	CAN
('5635',)	Bamble (NOR)	NOR
('5725',)	Banaba (KIR)	KIR
('2518',)	Banabungi (IDN)	IDN
('4825',)	Banana (COD)	COD
('10090',)	Banda Aceh (IDN)	IDN
('6291',)	Banda Is. (IDN)	IDN
('5015',)	Bandar Abbas (IRN)	IRN
('10324',)	Bandar Abbas Anch. (IRN)	IRN
('1699',)	Bandar Anzali (IRN)	IRN
('1179',)	Bandar Imam Khomeini (IRN)	IRN
('4684',)	Bandar Lengeh (IRN)	IRN
('3907',)	Bandar Mahshahr (IRN)	IRN
('8804',)	Bandar Seri Begawan (BRN)	BRN
('5705',)	Bandar Shahid Rejaie (IRN)	IRN
('7673',)	Bandar Taheri (IRN)	IRN
('10193',)	Bandar Torkeman (IRN)	IRN
('1596',)	Bandholm (DNK)	DNK
('4707',)	Bandirma (TUR)	TUR
('5458',)	Banff (GBR)	GBR
('8290',)	Banff Field (GBR)	GBR
('8522',)	Bang Pakong (THA)	THA
('8293',)	Banggai (IDN)	IDN
('2930',)	Bangka Is. (IDN)	IDN
('9828',)	Bangka Terminal (IDN)	IDN
('8380',)	Bangkalan (IDN)	IDN
('2605',)	Bangkok (THA)	THA
('2604',)	Bangkok Bar (THA)	THA
('5503',)	Bangladesh (BGD)	BGD
('5099',)	Bangor Bay (GBR)	GBR
('953',)	Bangor(GBR) (GBR)	GBR
('4543',)	Bangor(USA) (USA)	USA
('8482',)	Bani (PHL)	PHL
('3677',)	Banias (SYR)	SYR
('4787',)	Banjarmasin (IDN)	IDN
('5072',)	Banjul (GMB)	GMB
('4261',)	banks (CAN)	CAN
('6126',)	Banten (IDN)	IDN
('3250',)	Bantry (IRL)	IRL
('5220',)	Bantry Bay (IRL)	IRL
('10626',)	Banyu Urip Field (IDN)	IDN
('9446',)	Baobab Terminal (CIV)	CIV
('915',)	Bar (MTG)	MTG
('5464',)	Bar Harbour (USA)	USA
('10398',)	Baraawe (SOM)	SOM
('3858',)	Baracoa (CUB)	CUB
('3581',)	Barahona (DOM)	DOM
('5271',)	Baram (MYS)	MYS
('411',)	Barao de Teffe (BRA)	BRA
('9678',)	Barataria (USA)	USA
('3292',)	Barbados (BRB)	BRB
('2619',)	Barbate (ESP)	ESP
('10198',)	Barbours Cut (USA)	USA
